sender,type,content,date,timestamp
男,text,元気かな,2025/06/01,14:45
女,text,なに、しないよ？,2025/06/01,14:47
男,text,挨拶して即そんなこと言われる人俺だけかな,2025/06/01,14:48
女,text,たぶんそうw,2025/06/01,14:48
男,text,あったかい季節になったなって,2025/06/01,14:59
女,text,クマかよ笑,2025/06/01,15:00
女,text,だいぶ前からあったかいよ,2025/06/01,15:00
男,text,もうちょいスリムやろ！,2025/06/01,15:05
男,text,久々に映画とか見たくなった,2025/06/01,15:05
女,text,ミッションインポッシブルやってるよね,2025/06/01,15:08
男,text,たしかに,2025/06/01,15:08
男,text,うちで見るか,2025/06/01,15:08
女,text,なんで古いの見ないといかんのww,2025/06/01,15:10
男,text,あなた全部見てないでしょ,2025/06/01,15:10
女,text,１個もみてない,2025/06/01,15:11
男,text,過去作みないと楽しめないよ,2025/06/01,15:12
女,text,なるほど？,2025/06/01,15:13
女,text,もう一声,2025/06/01,15:13
男,text,ふるさと納税の美味しいお肉があったりはしますね,2025/06/01,15:13
女,text,うーん、やっぱり１部から見ないとよね,2025/06/01,15:20
男,text,お、じゃあ一緒に勉強しよう,2025/06/01,15:20
女,text,見てないんかよw,2025/06/01,15:21
女,text,今日ひま,2025/06/01,15:21
男,text,うい、もう家つくわ,2025/06/01,15:25
女,text,準備するね,2025/06/01,15:25
