sender,type,content,date,timestamp
男,text,先週の合コン1人もいい人いなかったー,2025/06/22,23:44
女,text,うそー,2025/06/22,23:47
女,text,どんな？,2025/06/22,23:47
男,text,お金は持ってるけど話つまらない笑,2025/06/22,23:47
男,text,女子の方が盛り上げてたw,2025/06/22,23:48
女,text,ええでも合コンいけるだけいいじゃん笑,2025/06/22,23:50
男,text,かなみはまさや君がいるじゃん！,2025/06/22,23:50
女,text,まあね~,2025/06/22,23:51
女,text,結婚してから太ってしかいないけど🐷,2025/06/22,23:52
男,text,そんなもんだよね笑,2025/06/22,23:52
女,text,もはや最近ちょっと気になる人いるw,2025/06/22,23:53
男,text,え,2025/06/22,23:55
男,text,それはやばいww,2025/06/22,23:55
男,text,どこの誰？,2025/06/22,23:56
女,text,隣の部署の人笑,2025/06/22,23:57
男,text,誘われたらいく？,2025/06/23,0:01
女,text,えー！,2025/06/23,0:04
女,text,🥺,2025/06/23,0:05
男,text,おいおいw,2025/06/23,0:06
