sender,type,content,date,timestamp
男,text,ひろです、こっちでもよろしくです！,2025/05/18,17:15
女,text,ゆいです、よろしくおねがいします！,2025/05/18,17:18
男,text,ゆいさんめちゃ癒し系に見えます！😳 彼氏さんどのくらいいないんですか？,2025/05/18,17:19
女,text,そんなんじゃないです、２年くらいいないです！,2025/05/18,17:20
男,text,えーべっぴんさんにそんなに彼氏いないと日本経済に打撃与えるってニュースで言ってましたよ😢😢,2025/05/18,17:20
女,text,いやいや、そんなべっぴんじゃないです🥲🥲,2025/05/18,17:20
男,text,深刻なんで早くいい人見つけてください😢笑,2025/05/18,17:21
女,text,悪いジョークはおやめください,2025/05/18,17:25
女,text,いい人見つけたいです〜,2025/05/18,17:25
男,text,そしたら２人で経済救えるように仲良くなりましょ🙋🙋笑,2025/05/18,17:27
女,text,仲良くなりたいです😄,2025/05/18,17:27
男,text,ゆいさんともっとお話したいです、通話しましょ🥺,2025/05/18,17:27
女,text,ぜひ！電話してみたいです😄,2025/05/18,17:30
女,text,いつも仕事は忙しいですか？,2025/05/18,17:37
男,text,割と調整効きます！今日の23時くらいか明日の21時半以降はどうですか？,2025/05/18,17:37
女,text,22時なら！,2025/05/18,17:38
男,phone,,2025/05/18,
男,text,金曜よろしく！,2025/05/18,
男,text,明日歯医者２時間頑張って〜,2025/05/19,
女,text,昨日はありがとうございました😄楽しかったです！,2025/05/19,17:38
男,text,歯医者折り返しの時間だね、ファイト,2025/05/19,17:40
女,text,歯医者長かったです・・・,2025/05/19,17:40
男,text,歯が半分くらい入れ替わってそう笑,2025/05/19,17:41
男,,今日電話いけそうだけどどう？,2025/05/19,
女,text,今日は仕事遅くなっちゃいました,2025/05/19,17:42
男,text,そしたら明日にしよ,2025/05/19,17:41
男,text,なんかタイミング合わんくてごめんね！１週間おつかれさまー,2025/05/22,17:43
女,text,すみません。私７月に異動がありそうで、東北の方に行くことになりそうで・・・申し訳ないですが金曜日やめておいて良いですか？お付き合いできないのに会うのも申し訳ないので・・・,2025/05/22,17:44
男,text,おおー！まじ！異動おめでとう！じゃあ金曜は異動祝いにしよー,2025/05/22,17:44
男,text,多分２度と会えないし全力で送り出しますわ,2025/05/22,17:46
女,text,いやいや，そんな申し訳ないので会うのはやめておきましょう😢,2025/05/22,17:47
