sender,type,content,date,timestamp
男,text,ひろです、こっちでもよろしくです！,2025/05/18,17:15
女,text,ゆいです！こちらこそ！😳,2025/05/18,17:18
男,text,ゆいさんめちゃ癒し系に見えます！😳 彼氏さんどのくらいいないんですか？,2025/05/18,17:19
女,text,そんなんじゃないです、２年くらいいないです！,2025/05/18,17:20
男,text,えーべっぴんさんにそんなに彼氏いないと日本経済に打撃与えるってニュースで言ってましたよ😢😢,2025/05/18,17:20
女,text,いやいや、そんなべっぴんじゃないです🥲🥲,2025/05/18,17:20
男,text,深刻なんで早くいい人見つけてください😢笑,2025/05/18,17:21
女,text,悪いジョークはおやめください😄,2025/05/18,17:25
女,text,いい人見つけたいです〜,2025/05/18,17:25
男,text,そしたら２人で経済救えるように仲良くなりましょ🙋🙋笑,2025/05/18,17:27
女,text,仲良くなりたいです😄,2025/05/18,17:27
男,text,ゆいさんともっとお話したいです、通話しましょ🥺,2025/05/18,17:27
女,text,ぜひ！電話してみたいです！,2025/05/18,17:30
女,text,いつも仕事は忙しいですか？,2025/05/18,17:37
男,text,割と調整効きます！今日の23時くらいか明日の21時半以降はどうですか？,2025/05/18,17:37
女,text,22時なら！,2025/05/18,17:38
