sender,type,content,date,timestamp
男,text,金曜よろしく！,2025/05/18,22:01
男,text,明日歯医者２時間頑張って〜,2025/05/18,22:02
女,text,昨日はありがとうございました😄楽しかったです！,2025/05/19,15:30
女,text,歯医者長かったです・・・,2025/05/19,15:31
男,text,歯が半分くらい入れ替わってそう笑,2025/05/19,15:35
男,,今日電話いけそうだけどどう？,2025/05/19,15:35
女,text,今日は仕事遅くなっちゃいました,2025/05/19,20:42
男,text,そしたら明日にしよ,2025/05/19,21:03
男,text,なんかタイミング合わんくてごめんね！１週間おつかれさまー,2025/05/22,19:43
女,text,すみません。私７月に異動がありそうで、東北の方に行くことになりそうで・・・😢申し訳ないですが金曜日やめておいて良いですか？お付き合いできないのに会うのも申し訳ないので・・・,2025/05/22,20:15
男,text,おおー！まじ！異動おめでとう！じゃあ金曜は異動祝いにしよー🎉,2025/05/22,20:20
男,text,多分２度と会えないし全力で送り出しますわ,2025/05/22,20:21
女,text,いやいや，そんな申し訳ないので会うのはやめておきましょう😢,2025/05/22,20:23
